,Team1,match_id,is_batting_team,Team2,innings_over,innings_score,innings_wickets,score_target,total_runs,player_dismissed,predictions,wickets_in_over,required_run_rate,predicted_team1,predicted_team2
0,RCB,1359479,1,MI,1_1,2,0,-1,2,0,0.4649202,0,-1.0,0.4649202,0.53507984
1,RCB,1359479,1,MI,1_2,11,0,-1,9,0,0.4767402,0,-1.0,0.4767402,0.52325976
2,RCB,1359479,1,MI,1_3,12,1,-1,1,1,0.35728216,1,-1.0,0.35728216,0.64271784
3,RCB,1359479,1,MI,1_4,17,2,-1,5,1,0.32745084,1,-1.0,0.32745084,0.6725491
4,RCB,1359479,1,MI,1_5,19,2,-1,2,0,0.32124323,0,-1.0,0.32124323,0.6787568
5,RCB,1359479,1,MI,1_6,29,3,-1,10,1,0.24962172,1,-1.0,0.24962172,0.75037825
6,RCB,1359479,1,MI,1_7,37,3,-1,8,0,0.25985307,0,-1.0,0.25985307,0.74014693
7,RCB,1359479,1,MI,1_8,43,3,-1,6,0,0.26800248,0,-1.0,0.26800248,0.7319975
8,RCB,1359479,1,MI,1_9,52,4,-1,9,1,0.23877051,1,-1.0,0.23877051,0.7612295
9,RCB,1359479,1,MI,1_10,55,4,-1,3,0,0.21834566,0,-1.0,0.21834566,0.78165436
10,RCB,1359479,1,MI,1_11,62,4,-1,7,0,0.2556017,0,-1.0,0.2556017,0.7443983
11,RCB,1359479,1,MI,1_12,78,4,-1,16,0,0.31665242,0,-1.0,0.31665242,0.6833476
12,RCB,1359479,1,MI,1_13,85,4,-1,7,0,0.38611835,0,-1.0,0.38611835,0.61388165
13,RCB,1359479,1,MI,1_14,99,5,-1,14,1,0.3553712,1,-1.0,0.3553712,0.64462876
14,RCB,1359479,1,MI,1_15,102,5,-1,3,0,0.32329863,0,-1.0,0.32329863,0.67670137
15,RCB,1359479,1,MI,1_16,111,6,-1,9,1,0.3690124,1,-1.0,0.3690124,0.63098764
16,RCB,1359479,1,MI,1_17,123,6,-1,12,0,0.34424287,0,-1.0,0.34424287,0.6557571
17,RCB,1359479,1,MI,1_18,133,7,-1,10,1,0.3470202,1,-1.0,0.3470202,0.6529798
18,RCB,1359479,1,MI,1_19,149,7,-1,16,0,0.42323622,0,-1.0,0.42323622,0.57676375
19,RCB,1359479,1,MI,1_20,171,7,-1,22,0,0.58030397,0,-1.0,0.58030397,0.41969603
20,RCB,1359479,0,MI,2_1,5,0,172,5,0,0.7014209,0,8.789473684,0.7014209,0.2985791
21,RCB,1359479,0,MI,2_2,14,0,172,9,0,0.55798376,0,8.777777778,0.55798376,0.44201624
22,RCB,1359479,0,MI,2_3,30,0,172,16,0,0.2968,0,8.352941176,0.2968,0.7032
23,RCB,1359479,0,MI,2_4,40,0,172,10,0,0.20024092,0,8.25,0.20024092,0.7997591
24,RCB,1359479,0,MI,2_5,45,0,172,5,0,0.39856762,0,8.466666667,0.39856762,0.6014324
25,RCB,1359479,0,MI,2_6,53,0,172,8,0,0.38458434,0,8.5,0.38458434,0.6154157
26,RCB,1359479,0,MI,2_7,58,0,172,5,0,0.49114314,0,8.769230769,0.49114314,0.5088569
27,RCB,1359479,0,MI,2_8,75,0,172,17,0,0.20722796,0,8.083333333,0.20722796,0.79277205
28,RCB,1359479,0,MI,2_9,80,0,172,5,0,0.37861967,0,8.363636364,0.37861967,0.6213803
29,RCB,1359479,0,MI,2_10,97,0,172,17,0,0.09582771,0,7.5,0.09582771,0.9041723
30,RCB,1359479,0,MI,2_11,108,0,172,11,0,0.034994774,0,7.111111111,0.034994774,0.9650052
31,RCB,1359479,0,MI,2_12,113,0,172,5,0,0.06650914,0,7.375,0.06650914,0.9334909
32,RCB,1359479,0,MI,2_13,129,0,172,16,0,0.015853386,0,6.142857143,0.015853386,0.9841466
33,RCB,1359479,0,MI,2_14,139,0,172,10,0,0.011301834,0,5.5,0.011301834,0.9886982
34,RCB,1359479,0,MI,2_15,148,1,172,9,1,0.011108637,1,4.8,0.011108637,0.98889136
35,RCB,1359479,0,MI,2_16,161,2,172,13,1,0.010631535,1,2.75,0.010631535,0.98936844
