Row_No,Team1,match_id,is_batting_team,Team2,innings_over,innings_score,innings_wickets,score_target,total_runs,player_dismissed,predictions,wickets_in_over,required_run_rate,predicted_team1,predicted_team2
0,GT,1359475,1,CSK,1_1,2,0,-1,2,0,0.4649202,0,-1.0,0.4649202,0.53507984
1,GT,1359475,1,CSK,1_2,13,0,-1,11,0,0.4956399,0,-1.0,0.4956399,0.5043601
2,GT,1359475,1,CSK,1_3,14,1,-1,1,1,0.3533812,1,-1.0,0.3533812,0.64661884
3,GT,1359475,1,CSK,1_4,29,1,-1,15,0,0.44496304,0,-1.0,0.44496304,0.55503696
4,GT,1359475,1,CSK,1_5,46,1,-1,17,0,0.50343907,0,-1.0,0.50343907,0.49656093
5,GT,1359475,1,CSK,1_6,51,2,-1,5,1,0.46757564,1,-1.0,0.46757564,0.53242433
6,GT,1359475,1,CSK,1_7,64,2,-1,13,0,0.5222633,0,-1.0,0.5222633,0.4777367
7,GT,1359475,1,CSK,1_8,72,3,-1,8,1,0.4938868,1,-1.0,0.4938868,0.5061132
8,GT,1359475,1,CSK,1_9,90,3,-1,18,0,0.62655693,0,-1.0,0.62655693,0.37344307
9,GT,1359475,1,CSK,1_10,93,3,-1,3,0,0.55360425,0,-1.0,0.55360425,0.44639575
10,GT,1359475,1,CSK,1_11,100,3,-1,7,0,0.5382559,0,-1.0,0.5382559,0.46174413
11,GT,1359475,1,CSK,1_12,114,3,-1,14,0,0.62093997,0,-1.0,0.62093997,0.37906003
12,GT,1359475,1,CSK,1_13,121,4,-1,7,1,0.56848437,1,-1.0,0.56848437,0.43151563
13,GT,1359475,1,CSK,1_14,125,4,-1,4,0,0.48341402,0,-1.0,0.48341402,0.51658595
14,GT,1359475,1,CSK,1_15,133,4,-1,8,0,0.49513587,0,-1.0,0.49513587,0.5048641
15,GT,1359475,1,CSK,1_16,140,4,-1,7,0,0.48190928,0,-1.0,0.48190928,0.5180907
16,GT,1359475,1,CSK,1_17,151,4,-1,11,0,0.5070827,0,-1.0,0.5070827,0.4929173
17,GT,1359475,1,CSK,1_18,155,6,-1,4,2,0.48031455,2,-1.0,0.48031455,0.51968545
18,GT,1359475,1,CSK,1_19,165,7,-1,10,1,0.47976398,1,-1.0,0.47976398,0.520236
19,GT,1359475,1,CSK,1_20,178,7,-1,13,0,0.5399818,0,-1.0,0.5399818,0.46001822
20,GT,1359475,0,CSK,2_1,3,0,179,3,0,0.5433445,0,9.263157895,0.5433445,0.4566555
21,GT,1359475,0,CSK,2_2,18,0,179,15,0,0.38113046,0,8.944444444,0.38113046,0.61886954
22,GT,1359475,0,CSK,2_3,29,0,179,11,0,0.41701698,0,8.823529412,0.41701698,0.582983
